"Project #","Project Title","Research Focus Area","Research Program","Administering IC(s)",Institution(s),Investigator(s),Location(s),"Year Awarded",Summary
3U19AR076734-01S3,"University of Michigan BACPAC Mechanistic Research Center","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"UNIVERSITY OF MICHIGAN AT ANN ARBOR","CLAUW, DANIEL J","Ann Arbor, MI",2021,"There are numerous pharmacological and non-pharmacological interventions for chronic low back pain, yet no treatment is universally effective. This award supports an early career physician to develop skills to prepare for a career in clinical pain research in an environment aiming to understand patient characteristics that predict differential responses to pain interventions and thus allow for tailored treatments. This research assesses the impact of mindfulness-based stress reduction on pain interference reported by people with chronic low back pain and explores neurobiological effects of mindfulness-based stress reduction through advanced imaging and clinical assessments."
3-U19-AR076734-01S4,"University of Michigan BACPAC Mechanistic Research Center","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"UNIVERSITY OF MICHIGAN AT ANN ARBOR","CLAUW, DANIEL J","Ann Arbor, MI",2021,"Chronic overlapping pain conditions represent up to half of all chronic pain cases and can be more debilitating than other forms of chronic pain. These conditions include but are not limited to the following: temporomandibular disorders, fibromyalgia, irritable bowel syndrome, vulvodynia, interstitial cystitis/painful bladder syndrome, painful endometriosis, chronic tension type headache, migraine headache, chronic low back pain, and chronic fatigue syndrome. Common neurobiological mechanisms have been suspected to account for the overlap between these conditions, but until recently it has been difficult to efficiently classify each condition within individual patients. A digital classification tool for clinicians has been developed for this purpose, but access to the tool remains limited. Here we propose converting this chronic overlapping pain conditions classification tool into a common web-based application format."
1R44GM140795-01A1,"Non-Opioid Post-Operative Pain Management Using Bupivacaine-loaded Poly(ester urea) Mesh","Preclinical and Translational Research in Pain Management","Small Business Research and Development",NIGMS,"21MEDTECH, LLC","ALFARO, ARTHUR","Durham, NC",2021,"There is an urgent need for non-opioid post-operative pain management solutions.  This research is developing a naturally absorbable polymer film that can release controlled amounts of the non-opioid analgesic bupivacaine – aiming to manage pain for several days following surgery. Project objectives are to optimize the timing of drug release, develop manufacturing standards, determine effective dosage for preserving motor function, and determine safety and efficacy in mouse models of neuropathic pain. Continued development of this film delivery system may lead to a new, non-opioid therapeutic strategy that could be combined with local anesthesia for up to 4 days after surgery to reduce or potentially eliminate opioids use."
"3 U2C DA050097-03S1","JCOIN Coordination and Translation Center","Translation of Research to Practice for the Treatment of Opioid Addiction","Justice Community Opioid Innovation Network",NIDA,"GEORGE MASON UNIVERSITY","TAXMAN, FAYE S","Fairfax, VA",2021,"This research is designed to further understand implementation of medication-delivery programs in jail and/or community treatment programs based on perceptions of staff delivering medications for opioid use disorder and related services. The primary study uses a mainly quantitative approach to examine medication-delivery program implementation in jail and/or treatment settings. The study compliments ongoing research by incorporating a qualitative approach to assess perceptions of diverse staff through two interviews each with 80 individuals working in jail and/or treatment facilities involved in an ongoing study. Qualitative methods will add depth and nuance to our understanding of how medication-delivery programmatic outcomes relate to correctional staff perceptions."
3UM1DA049412-03S2,"Research Supplement to Promote Diversity in Health-Related Research under MassHEAL - Reducing overdose deaths by 40% (2019-2023)","Translation of Research to Practice for the Treatment of Opioid Addiction","HEALing Communities Study",NIDA,"BOSTON MEDICAL CENTER","SAMET, JEFFREY H","Boston, MA",2021,"Understanding municipal policies that influence implementation of effective evidence-based practices (EBPs) as well as effective strategies for working with municipal groups may inform local efforts to translate EBPs. Just as important, engaging with local stakeholders may help to facilitate the long-term sustainability of EBPs. This can only occur if diverse local actors in municipal governance are thinking about health and behavioral health in the context of municipal planning and policy. Building from research related opioid use disorder and the risk environment, built environment, and zoning, this research will work to support coalition-based approach currently implemented by the HEALing Communities Study. The research aims to develop an understanding of local policies that may affect implementation of community action plans in the HEALing Communities Study Massachusetts communities."
3-U24-NS114416-01S1,"Administrative Supplement to Support Strategies to Increase Participant Diversity, Inclusion and Engagement in EPPIC NET","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"DUKE UNIVERSITY","LIMKAKENG, ALEXANDER TAN","Durham, NC",2021,"A main goal of the NIH HEAL Initiative and the Early Phase Pain Intervention Clinical Network (EPPIC-Net) is to improve non-opioid pain management. This award will leverage the resources at one of EPPIC-Net’s Specialized Clinical Centers by implementing and evaluating strategies to improve the engagement, recruitment, and retention of individuals from underserved racial/ethnic minority populations to participate in EPPIC-Net clinical trials. Since environmental, cultural, and genetic factors may account for observed differences in pain responses between racial and ethnic groups, enrollment of a diverse sample in pain research is crucial to obtain a complete understanding of the effectiveness of any proposed pain therapeutic intervention. The success of these activities will be evaluated, and a toolkit will be created to define best practices that can be by other EPPIC-Net sites and additional trials."
"1 R34 NS126032-01","Stem cell-loaded microgels to treat discogenic low back pain","Preclinical and Translational Research in Pain Management","Development and Optimization of Non-Addictive Therapies to Treat Pain",NINDS,"CEDARS-SINAI MEDICAL CENTER","SHEYN, DMITRIY","Los Angeles, CA",2021,"Pain caused by the degeneration of discs between vertebrae in the spine makes up a significant proportion of all chronic low back pain conditions. Although opioids are prescribed as treatments for this chronic condition, they often do not provide effective pain management, and currently there are no treatments that target the underlying disc disease. Notochordal cells mature into the cells that make up discs between vertebrae. Preliminary studies have shown that notochordal cells can be made from induced pluripotent stem cells, offering a potential replacement for diseased cells between discs. This study aims to develop a novel treatment for painful disc degeneration using a microgel/microtissue embedded with human notochordal cells made in the lab from induced pluripotent stem cells."
1R44HD107822-01,"A Novel Medical System for Quantitative Diagnosis and Personalized Precision Botulinum Neurotoxin Injection in Chronic Pelvic Pain Management","Preclinical and Translational Research in Pain Management","Small Business Research and Development",NICHD,"HILLMED, INC.","DIAS, NICHOLAS","Katy, TX",2021,"Chronic pelvic pain affects social and sexual quality of life in up to 20% of women in the United States. It is often managed with physical therapy approaches, but when these measures fail, injection therapies may be indicated. These include injection of botulinum neurotoxin, which leads to muscle relaxation in the pelvic floor and thus pain relief. However, botulinum neurotoxin has dose-dependent side effects and is expensive. Therefore, a precision injection technique to administer botulinum neurotoxin so that it remains effective while minimizing adverse effects and costs is needed. Hillmed Inc. has developed a technique to assess the pelvic floor and choose the optimal injection site, which has improved treatment outcome in initial analyses. They are now aiming to develop a commercializable, personalized precision injection medical device for botulinum toxin and software package that will enable clinicians to optimize botulinum neurotoxin injection. They will then assess the system’s efficacy in a clinical trial of women with chronic pelvic pain and healthy women."
1R44NS119036-01,"Development of a novel analgesic for mixed inflammatory and neuropathic pain states","Preclinical and Translational Research in Pain Management","Small Business Research and Development",NINDS,"ANABIOS CORPORATION","GHETTI, ANDREA","San Diego, CA",2021,"As prescription opioid drug abuse and overdose-related deaths continue to skyrocket in the United States, the need for new and more effective non-addictive pain drugs to treat chronic pain remains critical. This research is conducting studies in animal models of a small molecule that has high potential to treat chronic pain conditions associated with neuropathy and/or inflammation. The goal of this project is to conduct dosing and other studies leading up to an animal model study of the potential drug in a toxicology study for 28 days. Results may lead to Investigative New Drug regulatory clearance to begin clinical studies to validate the potential drug’s efficacy and safety."
3U44NS115111-03S1,"High-Resolution, Spinal Cord Stimulation for Non-Opioid Treatment of Neuropathic Pain","Preclinical and Translational Research in Pain Management","Small Business Research and Development",NINDS,"MICRO-LEADS, INC.","MCLAUGHLIN, BRYAN L","Somerville, MA",2021,"This research seeks to develop a high-resolution spinal cord stimulation therapy for treating chronic neuropathic pain of the lower extremities, groin, and lower back. Systems that use wireless communication methods require robust strategies to prevent various forms of cyberattacks on implantable devices. The focus of this project's research will be to develop a new cybersecurity risk-reduced architecture for Bluetooth low-energy implant communication."
"3 R01 DE029951-01S1","Targeting Endosomal Receptors for Treatment of Chronic Pain","Preclinical and Translational Research in Pain Management","Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain",NIDCR,"NEW YORK UNIVERSITY","BUNNETT, NIGEL W","New York, NY",2021,"G protein-coupled receptors (GPCRs) are the largest family of transmembrane signaling proteins and play important roles in inflammation and pain. GPCR signaling is fast and temporary, making it hard to measure in clinical studies of potential drugs to interfere with the signaling. This research is using selectively designed nanoparticles to stimulate or block GPCRs toward identifying new treatments for oral cancer pain. This award will use a new nanoformulation approach to understand how nanoparticles affect nerve function by i) testing the effects of continuous release of a GPCR inhibitor in an oral cancer microenvironment and ii) investigating the influence of various physicochemical characteristics of nanoparticles on nerve function in an oral cancer microenvironment."
U24NS113784-01S1,"University of Rochester Hub and Spokes for the EPPIC Network - Specialized Clinical Center","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"UNIVERSITY OF ROCHESTER","MARKMAN, JOHN DOUGLAS","Rochester, NY",2021,"Improving pain treatment for is a major goal of the NIH HEAL Initiative. This award supports an early career physician toward achieving a future in clinical pain research and in conducting phase II clinical trials focused on pain. Research activities will provide this individual with the skills needed to serve as a primary investigator for future clinical trials in chronic pain and will help to answer a key question that could improve the design of analgesic clinical trials for neurogenic intermittent claudication, a distinct form of chronic low back pain for which no available treatment exists."
1UG3NS123964-01,"Disease Modifying Analgesia with CA8 Gene Therapy","Preclinical and Translational Research in Pain Management","Development and Optimization of Non-Addictive Therapies to Treat Pain",NINDS,"UNIVERSITY OF MIAMI SCHOOL OF MEDICINE","LEVITT, ROY C","Coral Gables, FL",2021,"Efforts to identify non-opioid analgesics for treatment of chronic pain have identified a protein, carbonic anhydrase-8 (CA8), in pain-sensing nerve cells in the spinal cord (dorsal root ganglion cells) whose expression regulates analgesic responses. Gene therapy delivering CA8 to dorsal root ganglion cells through clinically relevant routes of administration functions as a “local anesthetic” that induces long-lasting pain relief in animal models of chronic pain. This project will further develop CA8 gene therapy with the goal of treating chronic knee osteoarthritis pain. It will assess several gene therapy constructs to determine the doses needed, safety, efficacy, and specificity to nerve cells for each construct. It will then select the safest and most effective construct that can be administered via the least invasive route for further development. The project will include all steps necessary to identify one candidate gene therapy construct that will be suitable to begin clinical trials in patients with chronic knee osteoarthritis pain."
1R43NS120410-01A1,"Optimization of a Gene Therapy for Chronic Pain in Human DRGs","Preclinical and Translational Research in Pain Management","Small Business Research and Development",NINDS,"NAVEGA THERAPEUTICS, INC.","MORENO, ANA MARIA","La Jolla, CA",2021,"To avoid the reliance on opioids for treatment of pain, researchers are investigating alternative approaches to disrupt the transmission of pain signals by specialized neurons in the body, such as dorsal root ganglion neurons in the spinal cord. Molecules called voltage-gated sodium channels that are located in the membranes of dorsal root ganglion neurons are essential for transmission of the pain signals. People carrying a specific variant of these channels, NaV1.7, are insensitive to pain; therefore, strategies to block this particular channel might help in the development of non-addictive pain treatment approaches. Navega Therapeutics is developing an innovative gene therapy that specifically targets NaV1.7. Using studies in human cell lines, they will identify the best designs to then test this gene therapy approach in human dorsal root ganglion neurons."
3UH3DA050251-03S1,"The Role of Family Functioning and Race/Ethnicity on the Efficacy of an Opioid Misuse Prevention Videogame Intervention for Adolescents","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"YALE UNIVERSITY","FIELLIN, LYNN ELIZABETH","New Haven, CT",2021,"Most opioid misuse begins during adolescence and young adulthood. Adolescence is the best time for prevention interventions in settings like school-based health centers (HCs), yet few programs focus on preventing initiation of opioid misuse. This study harnesses the power of video game interventions and incorporates components of effective substance use prevention programs to develop an evidence-informed intervention to prevent the initiation of opioid misuse in adolescents. In partnership with the national School-Based Health Alliance (SBHA), researchers will develop and test a new video game intervention, PlaySmart. It will build on our previous video game intervention that has demonstrated efficacy in improving attitudes and knowledge related to risk behaviors. The study will evaluate the game in a randomized controlled trial in 10 school-based HCs and examine strategies for implementing PlaySmart in school-based HCs nationally. This research has considerable potential for wide implementation, reach, and impact on high-risk adolescents through school-based HCs."
"1 UG1 HD107653-01","Incorporating nonpharmacologic approaches into a comparative effectiveness pharmacologic trial for neonates with neonatal opioid withdrawal syndrome (NOWS)","Enhanced Outcomes for Infants and Children Exposed to Opioids","Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW)",NICHD,"INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS (IN)","SOKOL, GREGORY M","Indianapolis, IN",2021,"Neonatal Opioid Withdrawal Syndrome (NOWS) is a condition that occurs when newborns are exposed to opioids during pregnancy. Symptoms often include tremors, excessive crying, sleep deprivation, and swallowing difficulties. Cases are rising, with a newborn affected by NOWS approximately every 15 minutes. Currently, healthcare providers in the United States lack standard, evidence-based treatments for NOWS."
"OT2 NS122680-01","A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Assess the Safety and Efficacy of 80 mg o.d. of NRD135S.El Versus Placebo in Adult and Elderly Subjects with Painful Diabetic Peripheral Neuropathy (SERENDIPITY-I)","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","ROBINSON-PAPP, JESSICA","New York, NY",2021,"People with diabetes are at risk for painful diabetic peripheral neuropathy. This pain may be experienced as burning, aching, hypersensitivity to touch, or simply as pain, and there are no currently FDA-approved medications that reduce its symptoms. This phase 2 clinical trial, through the EPPIC-NET program, will test a potential new treatment for painful diabetic peripheral neuropathy. The molecule, NRD135S.E1, is a lab-made version of a natural substance traditionally used to brew tea to treat a variety of indications, including pain, in a village in Siberia. In clinical studies, NRD135S.E1 was well tolerated by patients and showed clinically relevant pain relief. Testing within EPPIC-Net will use a master protocol, an innovative study design in which multiple treatments can be tested at the same time with fewer research participants."
1K24NS126861-01,"Promoting high-quality chronic pain treatment trials through mentorship of junior investigators: A focus on study conduct and method development","Clinical Research in Pain Management","Enhancing Career Development in Clinical Pain Research",NINDS,"UNIVERSITY OF ROCHESTER","Gewandter, Jennifer","Rochester, NY",2021,"Enhancing the workforce of pain investigators and practitioners is a key goal of the NIH HEAL Initiative. This mentoring award leverages the resources at one of EPPIC-Net’s Specialized Clinical Centers to encourage interest in clinical pain management, in particular through multidisciplinary pain research projects. A selected investigator will train early career clinical researchers on how to develop and validate relevant pain measures and outcomes in chronic pain conditions, including chemotherapy-induced peripheral neuropathy and neuropathic chronic low back pain. Mentoring activities will include formal research and analysis, active inclusion in EPPIC-Net working groups, and collaborative writing experiences."
1U01DA055366-01,"1/24 Healthy Brain and Child Development National Consortium","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"CEDARS-SINAI MEDICAL CENTER","GAO, WEI","Los Angeles, CA",2021,"The HEALthy Brain and Child Development National Consortium (HBCD-NC) will establish a normative model of developmental trajectories over the first 10 years of life. All sites in the HBCD-NC will carry out a common research protocol and will assemble and distribute a comprehensive research dataset to the scientific community. The HBCD-NC will collect neural, behavioral, physiological, and psychological measures, as well as biospecimens, to characterize neurodevelopmental trajectories. Most participants will be recruited in the second trimester of pregnancy, with a smaller subset recruited at birth, and followed for the first 10 years of life. The Cedars-Sinai Medical Center study site is in Los Angeles where marijuana is legal and methamphetamine use is prevalent, enabling researchers to recruit participants from high-risk populations."
"1 UG3 DA052166-01A1","CVL-354, a kappa opioid receptor antagonist for treatment of opioid use disorder, withdrawal and relapse","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"CEREVEL THERAPEUTICS, LLC","IREDALE, PHILIP","Cambridge, MA",2021,"Kappa opioid receptors (KOR) are expressed in brain areas that control reward, motivation, and anxiety. Upon opioid drug withdrawal and abstinence, dysregulated KOR signaling can result in aversive physical and affective states that are a major driver of relapse. Preclinical data have demonstrated that antagonism of KOR can reduce the physical symptoms of opioid withdrawal. Currently, the alpha 2-adrenergic agonist lofexidine is the only approved therapy for the mitigation of the physical symptoms of opioid withdrawal but it is only modestly effective and can have significant unwanted side effects. Cerevel Therapeutics has identified a novel selective KOR antagonist, CVL-354, with unique properties and good preclinical safety margins. This project will assess this drug in early human safety/pharmacokinetics and occupancy studies. Future studies will then be able to assess efficacy of this drug in acute opioid withdrawal."
1UG3DA052173-01A1,"Combating opioid addiction using CVL-936, a novel D3/D2 receptor antagonist","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"CEREVEL THERAPEUTICS, LLC","CHAKILAM, ANANTHSRINIVAS RAO","Cambridge, MA",2021,"Opioid use and addiction affects more than 2 million Americans and contribute to a large proportion of all drug overdose deaths. Current treatments for opioid use disorder (e.g., methadone and buprenorphine) are not always effective, may be misused, and can have side effects that discourage treatment continuation. Therefore, Cerevel Therapeutics is evaluating a novel compound, CVL-936, which targets brain molecules called dopamine D3 receptors. These receptors are involved in the brain’s reward and relapse pathways and are present in higher levels in people with addictions. In animal studies, the molecule reduced self-administration of nicotine and fentanyl, including in relapse situations. The project will test the safety and tolerability of CVL-936 in animals and healthy humans and will examine its effectiveness in reducing craving in people with opioid use disorder."
1U01DA055322-01,"HEALthy Brain and Child Development Study at UAB and UA","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"UNIVERSITY OF ALABAMA AT BIRMINGHAM","PERALTA-CARCELEN, ADA MYRIAM","Birmingham, AL",2021,"Researchers at the University of Alabama at Birmingham and the University of Alabama will enroll pregnant women during their second trimester and follow their infants through a comprehensive longitudinal study. This program will follow 300 mother-infant pairs to understand how early life exposure to drugs and other environmental factors affects developmental trajectories. In addition, this program will determine how genetic and biological factors interact with environmental factors to influence neurodevelopment. This study will take place at the University of Alabama at Birmingham, recruiting participants from mainly rural populations with low access to obstetric/gynecological (OB/GYN) care and high rates of substance use."
"1 U24 HD107621-01","Data Coordinating Center (DCC) for the Neonatal Opioid Withdrawal Syndrome Pharmacological Treatments Comparative Effectiveness Trial (NOWS PhaCET)","Enhanced Outcomes for Infants and Children Exposed to Opioids","Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW)",NICHD,"RESEARCH TRIANGLE INSTITUTE (NC)","DAS, ABHIK","Research Triangle Park, NC",2021,"Neonatal Opioid Withdrawal Syndrome (NOWS) is a condition that occurs when newborns are exposed to opioids during pregnancy. Symptoms often include tremors, excessive crying, sleep deprivation, and swallowing difficulties. Cases are rising, with a newborn affected by NOWS approximately every 15 minutes. Currently, healthcare providers in the United States lack standard, evidence-based treatments for NOWS. 

This project is part of a multi-center, randomized controlled clinical trial that directly compares NOWS treatments—morphine, methadone, and buprenorphine—and takes into account other types of non-drug therapies, such as behavioral interventions. The goal is to generate results that can inform clinical practice guidelines and give newborns with NOWS the best start possible. 

This site will serve as the Data Coordinating Center for the clinical trial to provide high-quality and impartial biostatistical expertise for all the study sites."
"1 RM1 DA055310-01","HEAL Initiative: Integrative Management of Chronic Pain and OUD for Whole Recovery (IMPOWR): Research Centers","Clinical Research in Pain Management","Integrative Management of chronic Pain and OUD for Whole Recovery (IMPOWR)",NIDA,"YALE UNIVERSITY","BECKER, WILLIAM C","New Haven, CT",2021,"Health care services for patients with both chronic pain and opioid use disorder are fragmented in the United States. To develop effective and feasible interventions for chronic pain and opioid misuse/disorder that can be implemented in both general medical and addiction treatment settings, this research examines two different care-delivery strategies. The first project will compare the effectiveness of a pharmacist-led, collaborative care approach for patients prescribed long-term opioids who have chronic pain and  opioid misuse/disorder compared to a pharmacist program with a cognitive behavior therapy-based pain self-management program. The second project will examine the effectiveness of a multimodal, interdisciplinary chronic pain management program that includes cognitive behavioral therapy, exercise, and stress management. With input from stakeholders and individuals with lived experience, this research has the potential to generate novel, reproducible, and scalable findings that addresses fragmented care delivery for co-occurring chronic pain and opioid misuse/disorder."
1K24AT011995-01,"Providing training in effective non-opioid options for the treatment of pain conditions","Clinical Research in Pain Management","Enhancing Career Development in Clinical Pain Research",NCCIH,"UNIVERSITY OF ILLINOIS AT CHICAGO","Doorenbos, Ardith Z","Chicago, IL",2021,"Over-the-counter medicines such as non-steroidal anti-inflammatory drugs are ineffective for treating severe chronic pain and may have serious side effects from continued use, which limits treatment options. A kinase (an enzyme whose activity targets a specific molecule) called TAK1 is involved in the chronic pain process. This research will develop a molecule previously shown to be effective in a model of inflammatory pain that also inhibits TAK1. A main goal will be to determine if this inhibitor (takinib analog HS-276) can cross the blood-brain barrier and, if successful, pursue FDA  Investigative New Drug-enabling safety studies leading to a Phase I clinical trial and a potential new chronic pain treatment."
1U01DA055355-01,"9/24 Healthy Brain and Child Development National Consortium","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"NORTHWESTERN UNIVERSITY AT CHICAGO","WAKSCHLAG, LAUREN S","Chicago, IL",2021,"The HEALthy Brain and Child Development National Consortium (HBCD-NC) will establish a normative template of developmental trajectories over the first 10 years of life. All sites in the HBCD-NC will carry out a common research protocol and will assemble and distribute a comprehensive research dataset to the scientific community. The HBCD-NC will collect neural, behavioral, physiological, and psychological measures, as well as biospecimens, to characterize neurodevelopmental trajectories. Most participants will be recruited in the second trimester of pregnancy, with a smaller subset recruited at birth, and followed for the first 10 years of life. The Northwestern University study site is in Chicago where rates of prenatal substance use are rising and consistent with the national trend. This site will recruit a diverse urban sample of mother-infant pairs reflecting the population of Chicago."
"1 UG3 DA054799-01","Development of Lofexidine as a First-line Non-Opioid Pharmacologic Treatment for Neonatal Opioid Withdrawal Syndrome","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"USWM, LLC","GULLO, KRISTEN LEANN","Louisville, KY",2021,"The nation’s opioid epidemic remains a public health emergency, marked by high rates of opioid use and misuse among adults and a correlated rising incidence of neonatal opioid withdrawal syndrome (NOWS) in infants exposed to opioids before they are born. There are currently no pharmacotherapies approved by the Food and Drug Administration (FDA) for the treatment of NOWS. This research will complete manufacturing and clinical trial activities to evaluate and support FDA approval of a pediatric-appropriate formulation of lofexidine, a non-opioid medication approved for mitigation of opioid withdrawal symptoms in adults, as a first line-therapy in NOWS patients through two clinical trials to (1) identify an optimal dosing regimen of lofexidine for treatment of NOWS, and (2) evaluate the risks and benefits of its use in improving withdrawal symptoms, limiting infant exposure to other off-label narcotic medications and shortening the infant’s overall stay in the hospital."
1U01DA055365-01,"3/24 Healthy Brain and Child Development National Consortium","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"CHILDREN'S HOSP OF PHILADELPHIA","HUANG, HAO","Philadelphia, PA",2021,"The HEALthy Brain and Child Development National Consortium (HBCD-NC) will establish a normative model of developmental trajectories over the first 10 years of life. All sites in the HBCD-NC will carry out a common research protocol and will assemble and distribute a comprehensive research dataset to the scientific community. The HBCD-NC will collect neural, behavioral, physiological, and psychological measures, as well as biospecimens, to characterize neurodevelopmental trajectories. Most participants will be recruited in the second trimester of pregnancy, with a smaller subset recruited at birth, and followed for the first 10 years of life. This study will be based out of the Children’s Hospital of Philadelphia and the University of Pennsylvania and will represent an urban population with a wide socioeconomic status range."
1U01DA055349-01,"10/24 Healthy Brain and Child Development National Consortium","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"OSU CENTER FOR HEALTH SCIENCES","CROFF, JULIE MAY","Tulsa, OK",2021,"The HEALthy Brain and Child Development National Consortium (HBCD-NC) will establish a normative model of developmental trajectories over the first 10 years of life. All sites in the HBCD-NC will carry out a common research protocol and will assemble and distribute a comprehensive research dataset to the scientific community. The HBCD-NC will collect neural, behavioral, physiological, and psychological measures, as well as biospecimens, to characterize neurodevelopmental trajectories. Most participants will be recruited in the second trimester of pregnancy, with a smaller subset recruited at birth, and followed for the first 10 years of life. This study will take place at Oklahoma State University Center for Health Sciences and recruit diverse people from an urban area, including American Indian populations."
"1 UG1 HD107628-01","Thomas Jefferson University Hospital Clinical Site for HEAL NOWS Pharmacologic Trial","Enhanced Outcomes for Infants and Children Exposed to Opioids","Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW)",NICHD,"THOMAS JEFFERSON UNIVERSITY  (PA)","KRAFT, WALTER K","Philadelphia, PA",2021,"Neonatal Opioid Withdrawal Syndrome (NOWS) is a condition that occurs when newborns are exposed to opioids during pregnancy. Symptoms often include tremors, excessive crying, sleep deprivation, and swallowing difficulties. Cases are rising, with a newborn affected by NOWS approximately every 15 minutes. Currently, healthcare providers in the United States lack standard, evidence-based treatments for NOWS. 

This project is part of a multi-center, randomized controlled clinical trial that directly compares NOWS treatments—morphine, methadone, and buprenorphine—and takes into account other types of non-drug therapies, such as behavioral interventions. The goal is to generate results that can inform clinical practice guidelines and give newborns with NOWS the best start possible. 

Thomas Jefferson University has more than 40 years of experience optimizing approaches to the care of opioid use disorder in pregnancy and conducts clinical research on NOWS treatments. The hospital provides a robust continuum of care that supports women with opioid use disorders before, during, and after delivery. This supportive culture has resulted in a relatively high rate of clinical trial participation that will enable long-term follow up of mothers and infants."
"R24 DA055306-01","Wake Forest IMPOWR Dissemination Education and Coordination Center (IDEA-CC)","Clinical Research in Pain Management","Integrative Management of chronic Pain and OUD for Whole Recovery (IMPOWR)",NIDA,"WAKE FOREST UNIVERSITY HEALTH SCIENCES","ADAMS, MEREDITH C  B","Winston-Salem, NC",2021,"The IMPOWR (Integrative Management of Chronic Pain and OUD for Whole Recovery) Dissemination, Education, and Coordination Center (IDEA-CC) will develop infrastructure to amplify and create momentum for the findings of the IMPOWR initiative and other linked research networks. This center will i) rapidly deploy a communication framework to link IMPOWR clinical sites with each other and the larger HEAL research frameworks; ii) develop an educational infrastructure addressing stigma and health disparities in patients with co-morbid chronic pain and opioid misuse/disorder; iii) disseminate research findings effectively to targeted audiences; iv) develop a novel composite screening tool for chronic pain and opioid misuse/disorder; and v) harmonize processes for data collection and common data elements of chronic pain and opioid misuse/disorder measures across the IMPOWR research centers, providing a coordinated platform for gathering data from these studies. This center will rapidly disseminate key findings to stakeholders, clinicians, and patients to improve the health and wellbeing of individuals with co-occurring chronic pain and opioid misuse/disorder."
1U01DA055362-01,"2/24 Healthy Brain and Child Development National Consortium","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"CHILDREN'S HOSPITAL OF LOS ANGELES","LEVITT, PAT","Los Angeles, CA",2021,"The HEALthy Brain and Child Development National Consortium (HBCD-NC) will establish a normative model of developmental trajectories over the first 10 years of life. All sites in the HBCD-NC will carry out a common research protocol and will assemble and distribute a comprehensive and well curated research dataset to the scientific community at large. The HBCD-NC will collect neural, behavioral, physiological, and psychological measures, as well as biospecimens, to characterize neurodevelopmental trajectories. Most participants will be recruited in the second trimester of pregnancy, with a smaller subset recruited at birth, and followed for the first 10 years of life. The Children’s Hospital of Los Angeles study site will enroll participants from across the Greater Los Angeles region, where the prevalence of legal and illegal non-opioid drug use is high, enabling researchers to recruit from diverse, high-risk populations."
"1 UG3 DA053123-01","Bacteriophage virus-like particle vaccines for fentanyl and heroin overdose","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR","CHACKERIAN, BRYCE C","Albuquerque, NM",2021,"Opioids account for nearly 70 percent of overdose deaths in the United States, with fentanyl and heroin use the most common causes. The goal of this project is to create a vaccine to elicit serum antibodies that bind and sequester the drug in the blood, preventing it from crossing the blood-brain barrier where it acts on the central nervous system. Current opioid vaccine strategies require multiple boosts and months to reach peak titers, the level of antibodies in a blood sample, and have yet to show protection against lethal overdose. In this project, researchers will use a bacteriophage virus-like particle vaccine platform to engineer and test the effectiveness of a combined vaccine to elicit high titer antibodies quickly to protect against lethal overdose from fentanyl or heroin."
